model,training_size,distribution,reversibility_error,hamiltonian_error,time,ess
GradSymplecticNNgHMC,0.1,gaussian,1.3354219e-05,"[0.92991084 0.9481213  0.90097845 0.93317026 0.9548487  0.9425219
 0.8826474  0.95563096 0.93783545 0.94350123 0.9423202  0.94756144
 0.93176955 0.9414108  0.95149606 0.9341077  0.9455695  0.92333925
 0.95382327 0.9408433  0.96002495 0.8465221  0.94970816 0.9255209
 0.90959615 0.9578767  0.91858065 0.9534606  0.943486   0.94017524
 0.9434702  0.9548473  0.9448055  0.8974673  0.94283295 0.96152174
 0.91936797 0.93495893 0.91049135 0.94675463 0.94433486 0.929163
 0.9400312  0.91225815 0.9371978  0.9468944  0.9278468  0.95844144
 0.95073986 0.95008695 0.9342987  0.9470134  0.94051665 0.9446665
 0.9566188  0.9423603  0.9310446  0.9231331  0.9557556  0.9609284
 0.95065975 0.94364804 0.93898046 0.9618146  0.9354718  0.94668645
 0.9261637  0.9360237  0.9462855  0.9344932  0.9295408  0.95804256
 0.9386097  0.939296   0.95372313 0.95872897 0.9486947  0.9233486
 0.9028217  0.9455311  0.9352411  0.9444226  0.9399888  0.9559331
 0.9270279  0.92470354 0.92338055 0.942098   0.9579333  0.91768664
 0.9388167  0.9462947  0.94398224 0.9579972  0.93758047 0.9588541
 0.91450524 0.94390774 0.93975866 0.96238685]",47.511911153793335,2692.7935310763773
GradGSymplecticNNgHMC,0.1,gaussian,5.1089766e-05,"[0.92999804 0.94819397 0.90114486 0.9338778  0.9549602  0.94280356
 0.88276947 0.9556236  0.93788123 0.9435258  0.942312   0.9475834
 0.9312698  0.9413135  0.9514656  0.9340589  0.9457097  0.92335457
 0.95379657 0.9408674  0.96007943 0.8471575  0.94974506 0.9255039
 0.9096111  0.9579274  0.9185247  0.953396   0.94358337 0.9401263
 0.9435581  0.95474946 0.9448694  0.8977562  0.9429356  0.9614994
 0.91924596 0.93480414 0.90949905 0.9467037  0.94436157 0.92919886
 0.9399164  0.9120946  0.9375236  0.94696033 0.92730254 0.95847577
 0.9507741  0.9501483  0.9343292  0.94715357 0.94047374 0.94480324
 0.95665014 0.94243217 0.9306204  0.9225544  0.9558128  0.96095324
 0.95074624 0.94393796 0.93892974 0.96177906 0.93551505 0.94663656
 0.9262726  0.93654525 0.9462694  0.9344057  0.92945766 0.95800066
 0.9383805  0.93919086 0.9537541  0.9587113  0.94878805 0.9233152
 0.9026716  0.9455937  0.93540335 0.9444674  0.93993104 0.9559417
 0.92700505 0.92461526 0.92345273 0.94205546 0.957878   0.91762304
 0.9389285  0.94644105 0.9441689  0.95797724 0.93758523 0.9589211
 0.9153606  0.9437593  0.9398505  0.96235293]",12.698755264282227,212.55386248761246
RevGSymplecticNNgHMC,0.1,gaussian,2.3447278e-14,"[0.92973346 0.9480009  0.90075445 0.9325596  0.95463705 0.9424181
 0.8825101  0.95552015 0.93782634 0.9432096  0.94187343 0.94774795
 0.93141854 0.9405498  0.9514815  0.9338872  0.945539   0.9232344
 0.9535533  0.9407081  0.96003187 0.8469348  0.9498684  0.92494726
 0.9093253  0.9578643  0.9183518  0.9530449  0.94335574 0.9397828
 0.9431652  0.95461863 0.944813   0.8976114  0.94265836 0.9614398
 0.9191283  0.9347748  0.9092711  0.9460095  0.9441205  0.92879987
 0.9398939  0.91210866 0.937448   0.9469032  0.92721856 0.9584295
 0.95078534 0.9498162  0.9342634  0.9467737  0.9404101  0.9441023
 0.95653963 0.9423382  0.93071496 0.9220571  0.95578307 0.96102154
 0.95046127 0.9434797  0.9389299  0.9616933  0.9352083  0.94642323
 0.92606544 0.9365474  0.9462072  0.93362635 0.92950547 0.95798695
 0.93825644 0.93893754 0.95377564 0.9586396  0.948878   0.9229979
 0.9026371  0.9451579  0.9352164  0.94393677 0.9399631  0.955861
 0.92707634 0.92397755 0.9232402  0.9419249  0.95771027 0.9176099
 0.9381136  0.9462587  0.9440791  0.95795506 0.93761015 0.958941
 0.91534466 0.94374704 0.93983763 0.9622571 ]",12.5545973777771,2700.9499196127144
RevGradGSymplecticNNgHMC,0.1,gaussian,2.568188e-14,"[0.93090457 0.9482586  0.90330887 0.93155324 0.9545593  0.9421791
 0.88391936 0.95571536 0.939067   0.94291735 0.9421718  0.9478039
 0.93117523 0.94026077 0.95170724 0.93436974 0.9454341  0.9239712
 0.95353985 0.94132775 0.9601226  0.8466629  0.9501127  0.9248681
 0.90996265 0.9577686  0.9190969  0.9529594  0.94328165 0.9393155
 0.9433245  0.9548825  0.9449723  0.8995651  0.9431387  0.96153927
 0.91904736 0.9352333  0.90844786 0.9456141  0.9434704  0.9290594
 0.9396419  0.9117354  0.93776524 0.9470257  0.9270293  0.95819044
 0.9510414  0.9496249  0.9354638  0.94683695 0.94073105 0.9436843
 0.9566767  0.9421553  0.9306201  0.92136955 0.9557189  0.96101725
 0.9503014  0.9433726  0.9386277  0.9617068  0.93483436 0.946504
 0.9256239  0.93690246 0.94612163 0.9330467  0.92985743 0.9581828
 0.93811846 0.9394522  0.9540111  0.95870346 0.9487383  0.9235233
 0.9028162  0.94503963 0.935071   0.94388056 0.9400809  0.95593977
 0.927344   0.92417705 0.9239652  0.94226897 0.9577727  0.9178772
 0.9386665  0.94636774 0.94440556 0.957946   0.9379369  0.95889014
 0.9163674  0.9433436  0.939636   0.9622163 ]",12.16645073890686,2730.025841565419
HMC,0.1,high_dimensional_gaussian,1.4289015e-15,"[0.9344958  0.94257784 0.92875826 0.9406926  0.942775   0.933475
 0.93336487 0.9348962  0.93058896 0.9438108  0.93694293 0.9281553
 0.937833   0.94231045 0.9317593  0.9465699  0.9343114  0.9383153
 0.9368951  0.9371659  0.9344157  0.9436757  0.9325967  0.93738884
 0.94142693 0.9383888  0.93685883 0.93786305 0.936093   0.9419646
 0.93521035 0.9378869  0.9424421  0.9405875  0.93136966 0.94279337
 0.9383645  0.93439263 0.943011   0.93829817 0.9383794  0.9329599
 0.94268525 0.9299835  0.94075596 0.928936   0.94632185 0.93910444
 0.93801117 0.93968695 0.9365131  0.93579483 0.93409014 0.9407295
 0.9398416  0.9294285  0.9313242  0.93555975 0.9433815  0.9414325
 0.939958   0.931127   0.93162954 0.9410245  0.9392201  0.9383004
 0.942798   0.9300126  0.93169737 0.93826497 0.93658435 0.9373161
 0.94172776 0.9462279  0.93829465 0.9370572  0.93988645 0.9355175
 0.93886185 0.92241454 0.9379379  0.9341115  0.94368184 0.93672824
 0.9297711  0.9381851  0.94120836 0.9415115  0.9378022  0.93797624
 0.93275565 0.93222797 0.9250711  0.92321813 0.9329459  0.9342496
 0.9290241  0.93037075 0.9347019  0.9358448 ]",48.34911608695984,353.77453188826047
SymplecticNNgHMC,0.1,high_dimensional_gaussian,5.1663916e-05,"[0.9345124  0.9425799  0.9288107  0.94064903 0.9427433  0.93346775
 0.933329   0.93486965 0.93060386 0.94380474 0.9369284  0.9281932
 0.93783736 0.9422864  0.9317257  0.9465952  0.93431515 0.93828315
 0.93685716 0.9371824  0.93440384 0.9436902  0.93257135 0.93741864
 0.94143426 0.9383644  0.9368329  0.9378435  0.9361178  0.94195074
 0.9352333  0.9379144  0.9424224  0.9405936  0.9313814  0.9427926
 0.9383826  0.93437326 0.9429996  0.93826455 0.9383222  0.93289584
 0.9426707  0.92990136 0.9407077  0.92893285 0.94631946 0.93907756
 0.9380021  0.93967927 0.9365057  0.93575543 0.93408155 0.9406872
 0.93982077 0.9294038  0.9313015  0.9355258  0.94334    0.94141567
 0.9399669  0.93109626 0.9316039  0.9410085  0.9392521  0.93828714
 0.9427859  0.92992616 0.9316964  0.9382738  0.9365835  0.93730867
 0.9417323  0.9461975  0.9382701  0.9370812  0.93990296 0.9354806
 0.9388261  0.9224564  0.9378935  0.93404984 0.9436841  0.9367589
 0.9297695  0.93816316 0.9411906  0.9414372  0.93780774 0.93797874
 0.9327564  0.9322349  0.9250004  0.9231884  0.93297756 0.934261
 0.92902625 0.9303853  0.93470776 0.93582267]",62.70092964172363,369.16435174667544
GSymplecticNNgHMC,0.1,high_dimensional_gaussian,0.0003860765,"[0.9346067  0.9425796  0.9286097  0.9405922  0.9427396  0.933366
 0.9333188  0.9347973  0.9305005  0.9437393  0.93683857 0.92799985
 0.9377669  0.9422703  0.93162525 0.9465744  0.9342951  0.938225
 0.93689793 0.9371685  0.9343354  0.94363916 0.93257487 0.9373344
 0.94136876 0.9382969  0.9367451  0.93777    0.93603677 0.94193953
 0.93516606 0.93781394 0.9424571  0.9405403  0.93131304 0.94271153
 0.9382858  0.9342946  0.9429421  0.9382262  0.9381992  0.9329671
 0.9426961  0.92988986 0.9407241  0.92885876 0.94638    0.93901074
 0.93796724 0.9396509  0.93639106 0.93567055 0.93409413 0.9406887
 0.9398546  0.92944276 0.93119574 0.9354131  0.9433503  0.94138
 0.93992364 0.93102705 0.931496   0.94096226 0.93920946 0.93822974
 0.94276273 0.9299598  0.93170184 0.93822837 0.9365262  0.9372043
 0.94173783 0.94617003 0.9382484  0.9371042  0.9399077  0.9354133
 0.9387913  0.92228985 0.9378984  0.9341258  0.9436439  0.93668115
 0.9297123  0.93813884 0.9411552  0.9414643  0.93775505 0.9379101
 0.93266934 0.93223447 0.9249228  0.92305684 0.9330718  0.93417895
 0.9288689  0.9303181  0.9346587  0.935748  ]",26.60166907310486,326.3955268266083
GradSymplecticNNgHMC,0.1,high_dimensional_gaussian,3.5744213e-06,"[0.93450946 0.9425801  0.9287965  0.9406883  0.942768   0.93347996
 0.93336296 0.93489236 0.9306021  0.9438065  0.93694305 0.9281616
 0.9378349  0.9423079  0.93175066 0.9465766  0.93429726 0.9383129
 0.9368851  0.93716085 0.9344026  0.9436748  0.9325967  0.9374118
 0.9414371  0.938393   0.9368442  0.9378551  0.93608713 0.9419602
 0.9352164  0.9378916  0.9424304  0.9405934  0.9313822  0.942784
 0.9383749  0.9343974  0.9430148  0.93830216 0.9383666  0.9329357
 0.9426891  0.92999125 0.940762   0.92894006 0.9463177  0.93909836
 0.9379963  0.93968534 0.9365253  0.93578357 0.93409556 0.94073105
 0.93983126 0.9294208  0.93132627 0.9355643  0.9433834  0.9414293
 0.93995064 0.9311303  0.93162507 0.9410081  0.93923724 0.9383043
 0.9427971  0.9299997  0.93170595 0.9382713  0.93658656 0.9373255
 0.9417325  0.94623154 0.9382986  0.93706906 0.9398893  0.9355196
 0.9388477  0.9224328  0.937937   0.9340994  0.94367564 0.9367428
 0.929758   0.93820024 0.94119805 0.94150007 0.93779886 0.93797415
 0.93277854 0.93224525 0.92508364 0.92321634 0.9329369  0.9342623
 0.9290246  0.9303662  0.9347009  0.935835  ]",91.98375654220581,370.0822196492231
GradGSymplecticNNgHMC,0.1,high_dimensional_gaussian,0.00020376954,"[0.934461   0.9425765  0.9286146  0.9405936  0.94275796 0.9334636
 0.93337107 0.93482256 0.9305212  0.94374245 0.9368925  0.9281416
 0.93775773 0.94229746 0.93162215 0.94654703 0.9341364  0.9383318
 0.9368936  0.93718565 0.9343244  0.9436209  0.9326088  0.93729514
 0.94138116 0.9383154  0.93677896 0.937847   0.93601453 0.9419509
 0.93526685 0.93787354 0.9424502  0.94058406 0.93131447 0.94275063
 0.93834305 0.93428516 0.9429614  0.9382758  0.93827856 0.9329891
 0.94265956 0.92990637 0.9407104  0.92893004 0.9463128  0.93897915
 0.93795574 0.9396622  0.9364431  0.9356541  0.9340086  0.94065046
 0.9398038  0.92938423 0.93130016 0.935461   0.94335    0.9414338
 0.9399513  0.93110895 0.9315065  0.94096273 0.93919796 0.9382557
 0.9427416  0.9300536  0.93167293 0.9382259  0.9366617  0.93716854
 0.94166696 0.9461851  0.9382026  0.93701077 0.9399252  0.935457
 0.93887633 0.92227113 0.9379     0.9340989  0.9436344  0.9367331
 0.9297277  0.9381169  0.9411863  0.94154084 0.9377538  0.9378888
 0.9327016  0.93219554 0.92488325 0.92322576 0.9330484  0.9341773
 0.9289497  0.9303099  0.934683   0.93583226]",48.14388942718506,333.76497799409685
RevGSymplecticNNgHMC,0.1,high_dimensional_gaussian,6.713613e-15,"[0.93447083 0.94254863 0.9287273  0.9405788  0.94275    0.9333975
 0.9333205  0.9348855  0.93058467 0.94379175 0.9368738  0.9279802
 0.9378196  0.9423224  0.9317092  0.94657373 0.9341313  0.93829906
 0.9369091  0.9371289  0.9343047  0.94362634 0.9324517  0.9373468
 0.94140565 0.9382771  0.93680924 0.9378378  0.9359616  0.9419605
 0.9350766  0.93782604 0.9424249  0.9406263  0.931478   0.9427837
 0.93831885 0.9343785  0.94298744 0.93827486 0.938303   0.9328908
 0.9426395  0.9298803  0.9407432  0.92884797 0.9463231  0.93908566
 0.9379963  0.93964505 0.9364218  0.9357213  0.93403834 0.9407136
 0.9397733  0.9294081  0.93127763 0.93553084 0.9433531  0.94142073
 0.93991727 0.9309125  0.93149436 0.94096696 0.9392266  0.9382405
 0.9428152  0.9300129  0.9316282  0.9382211  0.9365959  0.9372873
 0.9417014  0.9462056  0.93820465 0.93704337 0.9398818  0.93551946
 0.93882483 0.9223132  0.93786955 0.9341263  0.943655   0.93665504
 0.9296936  0.93812436 0.941136   0.94151545 0.9377114  0.9379066
 0.9326312  0.9322192  0.92488515 0.9230422  0.9329281  0.9341589
 0.9289078  0.9304163  0.93460655 0.9357656 ]",38.61195373535156,337.2983401631338
