model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
SymplecticNNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.9495808  0.9498726  0.9500791  0.9514322  0.95136213 0.9495926
 0.95017976 0.9496379  0.9509899  0.95163524 0.95121574 0.94856274
 0.9515707  0.9504099  0.94691294 0.9517445  0.9487869  0.9506531
 0.94932353 0.9529691  0.951184   0.95099896 0.9510395  0.950809
 0.95036304 0.9505944  0.9506106  0.95108145 0.95059556 0.948182
 0.95222604 0.95027983 0.9487311  0.9512491  0.9514541  0.9496573
 0.9512321  0.9531485  0.9525732  0.94991267 0.95062125 0.9515315
 0.94989264 0.95187443 0.9493405  0.95012873 0.9520421  0.9488896
 0.9494471  0.9514467  0.9498326  0.9510309  0.9507817  0.9507278
 0.9504914  0.95009106 0.9503528  0.94997424 0.9507023  0.95110035
 0.95248926 0.95101583 0.94826216 0.9529488  0.94837064 0.9509842
 0.9510364  0.95211196 0.94951504 0.95074004 0.95038307 0.9521731
 0.95043075 0.9497043  0.949914   0.95035005 0.94906557 0.9505271
 0.9524617  0.949489   0.9503867  0.95205545 0.9503223  0.9494445
 0.9491409  0.950874   0.9512738  0.9490833  0.95055616 0.9509434
 0.94845617 0.95088196 0.9499948  0.9499342  0.94893813 0.95141286
 0.95178574 0.94994164 0.95020807 0.95200706]",0.19250482,54.41370749473572,5.135948226187823
GSymplecticNNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.92532223 0.92277    0.92594624 0.9241215  0.9272101  0.9259545
 0.9275346  0.92626095 0.924286   0.92682356 0.92532563 0.9221988
 0.9253394  0.923123   0.92542446 0.9265763  0.92443717 0.92626685
 0.92642    0.9241656  0.9234288  0.92707634 0.9246077  0.92535436
 0.9269947  0.9254543  0.9257581  0.927171   0.9228551  0.925975
 0.92671555 0.9276155  0.9289896  0.92314243 0.92532945 0.9263713
 0.92532635 0.92593527 0.92533505 0.9256046  0.9281441  0.9229979
 0.9263641  0.9261381  0.9254745  0.9260315  0.9209986  0.92686987
 0.92578506 0.92719436 0.92551076 0.9216201  0.92278254 0.92605174
 0.92634726 0.9272208  0.9257363  0.9277326  0.92613506 0.925773
 0.92260396 0.92435825 0.92462796 0.9245905  0.92462605 0.9255268
 0.924641   0.9238991  0.9259949  0.9276589  0.92479455 0.9277104
 0.92354625 0.92550313 0.9253787  0.92560947 0.92712784 0.9254526
 0.9267657  0.92501163 0.92650306 0.9247595  0.92291707 0.92401636
 0.92535496 0.92202365 0.92565095 0.92765254 0.92522043 0.92649794
 0.9257018  0.924555   0.9266278  0.92656934 0.9243518  0.9250351
 0.92505586 0.92326254 0.92620265 0.92527914]",17033.375,26.354514598846436,5700.0
HMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.66636354 0.6719779  0.67165077 0.6677828  0.672838   0.6691842
 0.6719116  0.6740546  0.6715832  0.66809034 0.6772892  0.671493
 0.66742635 0.66901445 0.67055285 0.6735128  0.6746516  0.6651974
 0.6658473  0.66567934 0.67162454 0.6797097  0.6752929  0.67527306
 0.6742465  0.6825723  0.6621432  0.67079055 0.6677921  0.66542584
 0.6682562  0.66799086 0.67041576 0.6733989  0.67751694 0.6710004
 0.6700174  0.66754186 0.6766877  0.6782141  0.6703756  0.67102087
 0.6710207  0.6801666  0.6727605  0.6652496  0.66489947 0.67569065
 0.6731914  0.66382736 0.6726665  0.6642402  0.680295   0.67307293
 0.6733815  0.6724316  0.67368126 0.66861045 0.6757761  0.66282094
 0.6710383  0.6690368  0.67021817 0.6716158  0.6693942  0.66619873
 0.6656381  0.66701066 0.66859806 0.6886241  0.66542304 0.6749035
 0.6689507  0.67536855 0.6724469  0.6702857  0.669177   0.6699028
 0.670433   0.6671452  0.6644788  0.6701591  0.66856706 0.6755562
 0.67154765 0.66577905 0.66674566 0.66968155 0.6673731  0.6753573
 0.67016363 0.6781761  0.67823017 0.66743064 0.66937435 0.6759813
 0.67290115 0.6829424  0.66574794 0.6825479 ]",1.3214312e+06,18.003586292266846,5697.263583103526
NNgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.66636354 0.6719779  0.67165077 0.6677828  0.672838   0.6691842
 0.6719116  0.6740546  0.6715832  0.66809034 0.6772892  0.671493
 0.66742635 0.66901445 0.67055285 0.6735128  0.6746516  0.6651974
 0.6658473  0.66567934 0.67162454 0.6797097  0.6752929  0.67527306
 0.6742465  0.6825723  0.6621432  0.67079055 0.6677921  0.66542584
 0.6682562  0.66799086 0.67041576 0.6733989  0.67751694 0.6710004
 0.6700174  0.66754186 0.6766877  0.6782141  0.6703756  0.67102087
 0.6710207  0.6801666  0.6727605  0.6652496  0.66489947 0.67569065
 0.6731914  0.66382736 0.6726665  0.6642402  0.680295   0.67307293
 0.6733815  0.6724316  0.67368126 0.66861045 0.6757761  0.66282094
 0.6710383  0.6690368  0.67021817 0.6716158  0.6693942  0.66619873
 0.6656381  0.66701066 0.66859806 0.6886241  0.66542304 0.6749035
 0.6689507  0.67536855 0.6724469  0.6702857  0.669177   0.6699028
 0.670433   0.6671452  0.6644788  0.6701591  0.66856706 0.6755562
 0.67154765 0.66577905 0.66674566 0.66968155 0.6673731  0.6753573
 0.67016363 0.6781761  0.67823017 0.66743064 0.66937435 0.6759813
 0.67290115 0.6829424  0.66574794 0.6825479 ]",1.3214312e+06,43.657320737838745,5281.369098711483
NNODEgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9413427  0.9410372  0.94116753 0.9411006  0.9410275  0.9412422
 0.941193   0.94109935 0.9410083  0.94118166 0.94077367 0.9410839
 0.9411607  0.94109285 0.9413795  0.94095945 0.9410329  0.94134444
 0.9413961  0.9410197  0.94098425 0.9408192  0.94088316 0.94093245
 0.941041   0.9407041  0.9414176  0.94110286 0.94109124 0.9414829
 0.94111025 0.94130135 0.9413309  0.9408636  0.9407806  0.94119585
 0.94109523 0.94101495 0.9407284  0.9409102  0.94120616 0.9408927
 0.9411725  0.94069755 0.94111913 0.9413705  0.9410143  0.9411039
 0.94114923 0.94134355 0.9410991  0.94116676 0.94064796 0.9410409
 0.94105947 0.94113535 0.9410488  0.9413394  0.94098485 0.94137895
 0.94083416 0.9411044  0.94124407 0.94082564 0.9413063  0.94122577
 0.9412006  0.94108504 0.9412827  0.94054973 0.9412717  0.9409547
 0.94109267 0.9409857  0.9410906  0.9411639  0.941323   0.94113576
 0.94101226 0.9413108  0.9413601  0.94100666 0.94111    0.9409337
 0.9411638  0.9411329  0.94122016 0.9413341  0.9412365  0.9409353
 0.94126034 0.94080544 0.9409332  0.9412617  0.94124687 0.94083565
 0.9409399  0.9406214  0.94131535 0.94054955]",8.643838e-11,35.19151735305786,5400.0
Explicit NNODEgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9402698  0.93995756 0.94009393 0.9400177  0.9399489  0.9401693
 0.94012135 0.9400262  0.9399264  0.94010395 0.9396881  0.9400058
 0.9400805  0.94001144 0.940315   0.93987817 0.93995714 0.94027036
 0.9403256  0.9399295  0.9399013  0.93974006 0.93980074 0.93985236
 0.939965   0.9396229  0.9403429  0.9400248  0.9400079  0.9404167
 0.94002885 0.9402293  0.940264   0.939777   0.93969554 0.9401231
 0.9400155  0.9399277  0.9396403  0.9398334  0.940133   0.93980396
 0.9400985  0.93961257 0.9400445  0.9402982  0.9399225  0.9400333
 0.94007725 0.9402678  0.9400241  0.9400821  0.93956083 0.9399633
 0.93998325 0.940061   0.93997216 0.9402701  0.939908   0.9403035
 0.9397429  0.9400239  0.94017243 0.93973464 0.940237   0.94014734
 0.9401199  0.94000024 0.94021076 0.93947    0.9401941  0.93987536
 0.9400109  0.9399087  0.94001436 0.94008803 0.9402537  0.9400581
 0.93992925 0.9402382  0.9402859  0.9399228  0.94002926 0.9398541
 0.9400903  0.94004905 0.9401423  0.940266   0.94016004 0.9398556
 0.94018996 0.9397232  0.9398574  0.94018674 0.94017404 0.939752
 0.9398564  0.9395365  0.94024074 0.93946075]",3.8805107e-14,56.58948278427124,34.89766243066807
SymplecticNNgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.95425105 0.9542672  0.95428336 0.9544687  0.9541997  0.95417184
 0.95418596 0.9539677  0.9545552  0.9542472  0.95416594 0.95424837
 0.95431507 0.95458215 0.9541539  0.95409083 0.95398426 0.9544861
 0.9544596  0.9544705  0.9542639  0.9538977  0.9541618  0.9542575
 0.95401895 0.9541103  0.9544544  0.95434725 0.9545762  0.9541079
 0.9543083  0.9541801  0.95398223 0.95432043 0.95416486 0.95415664
 0.95441645 0.9546647  0.9541253  0.95396495 0.95411915 0.95437807
 0.9542303  0.95409334 0.954266   0.9543487  0.95468754 0.9539281
 0.9539901  0.95420873 0.95406234 0.9547585  0.954039   0.9542622
 0.9539198  0.95407057 0.9541449  0.95413387 0.9541651  0.9542376
 0.95433855 0.9543528  0.9542267  0.9544108  0.95428485 0.95418394
 0.9544265  0.9545617  0.954395   0.953864   0.95444036 0.9542415
 0.95419204 0.9541039  0.9541669  0.9543656  0.95402193 0.95434034
 0.95434874 0.954251   0.95431155 0.9542682  0.95426023 0.9540173
 0.9542781  0.9545598  0.954384   0.95419705 0.95435894 0.9538803
 0.9540384  0.954054   0.9539568  0.9542718  0.95408505 0.9540267
 0.9545053  0.95374835 0.9542823  0.9541235 ]",57.595272,74.39224624633789,29.83394827809695
GSymplecticNNgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.94465035 0.9444537  0.944462   0.94462633 0.94440496 0.94453025
 0.94446385 0.9443776  0.9444878  0.9445671  0.9443063  0.944466
 0.94461507 0.944574   0.9445395  0.94439524 0.94435024 0.9446721
 0.9446615  0.9448149  0.9444846  0.9441767  0.94433975 0.9443309
 0.94436234 0.94409835 0.94477105 0.9444821  0.94463336 0.9446694
 0.9445905  0.94458026 0.94450605 0.9444673  0.9442989  0.94446397
 0.9445214  0.9446863  0.944343   0.944235   0.9445009  0.944586
 0.9444722  0.94419116 0.9444219  0.9446554  0.9448759  0.94433117
 0.9444055  0.94470537 0.94439733 0.9447783  0.94419706 0.94439554
 0.94438136 0.94443214 0.94438267 0.9445785  0.9443185  0.9447373
 0.94461024 0.94455516 0.9444887  0.9445898  0.9445273  0.9446368
 0.94467735 0.94467944 0.9445569  0.943889   0.9446807  0.9443412
 0.9445836  0.94431704 0.9444305  0.94450176 0.9445447  0.94451654
 0.9445201  0.9445995  0.9446893  0.94454324 0.94456756 0.9443161
 0.94445884 0.9447031  0.94461656 0.9445571  0.94459426 0.9443284
 0.9444926  0.94424677 0.94423056 0.9445929  0.94452465 0.9443256
 0.9444558  0.94409513 0.9446492  0.9441423 ]",1119.7938,29.340888738632202,27.901436454706438
HMC,0.2,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8934287  0.89545697 0.8938918  0.8958173  0.8973755  0.8976156
 0.8960835  0.8961047  0.8947703  0.8985097  0.8936999  0.8941164
 0.89652556 0.8950607  0.89261675 0.8958504  0.89524853 0.8961934
 0.8954651  0.8962612  0.89570254 0.895189   0.896629   0.8949518
 0.89557856 0.89170253 0.89804524 0.89599204 0.89607275 0.8976509
 0.8971483  0.8952109  0.8947426  0.89462435 0.8915949  0.89735353
 0.89551556 0.8982209  0.89782274 0.8950092  0.8956759  0.8948395
 0.896768   0.89361876 0.8926517  0.8981063  0.89591426 0.8947832
 0.89550054 0.89937514 0.89780754 0.89774966 0.8960421  0.89698935
 0.89627826 0.8927552  0.8945936  0.89508057 0.89380026 0.89916986
 0.89827347 0.896809   0.8953824  0.896796   0.89763963 0.8982083
 0.8978197  0.8964049  0.8963276  0.8929533  0.8951032  0.8965556
 0.893892   0.89549863 0.89499784 0.8945238  0.8941356  0.8961688
 0.8981487  0.89691293 0.89775866 0.8974136  0.8982565  0.89507836
 0.89701974 0.89874303 0.8980541  0.893428   0.8957155  0.89587754
 0.8972739  0.894582   0.89346164 0.8959314  0.89547145 0.89734256
 0.89466095 0.8925805  0.8970921  0.8945837 ]",74.37598,18.277255058288574,5697.24435998128
NNgHMC,0.2,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8934287  0.89545697 0.8938918  0.8958173  0.8973755  0.8976156
 0.8960835  0.8961047  0.8947703  0.8985097  0.8936999  0.8941164
 0.89652556 0.8950607  0.89261675 0.8958504  0.89524853 0.8961934
 0.8954651  0.8962612  0.89570254 0.895189   0.896629   0.8949518
 0.89557856 0.89170253 0.89804524 0.89599204 0.89607275 0.8976509
 0.8971483  0.8952109  0.8947426  0.89462435 0.8915949  0.89735353
 0.89551556 0.8982209  0.89782274 0.8950092  0.8956759  0.8948395
 0.896768   0.89361876 0.8926517  0.8981063  0.89591426 0.8947832
 0.89550054 0.89937514 0.89780754 0.89774966 0.8960421  0.89698935
 0.89627826 0.8927552  0.8945936  0.89508057 0.89380026 0.89916986
 0.89827347 0.896809   0.8953824  0.896796   0.89763963 0.8982083
 0.8978197  0.8964049  0.8963276  0.8929533  0.8951032  0.8965556
 0.893892   0.89549863 0.89499784 0.8945238  0.8941356  0.8961688
 0.8981487  0.89691293 0.89775866 0.8974136  0.8982565  0.89507836
 0.89701974 0.89874303 0.8980541  0.893428   0.8957155  0.89587754
 0.8972739  0.894582   0.89346164 0.8959314  0.89547145 0.89734256
 0.89466095 0.8925805  0.8970921  0.8945837 ]",74.37598,43.025620222091675,5282.977173713415
