model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
NNODEgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.92854065 0.9485949  0.8972349  0.9329561  0.95497465 0.94210047
 0.880476   0.9557144  0.9378357  0.9442207  0.9421271  0.9475061
 0.9309102  0.94100684 0.9514095  0.93413705 0.9451512  0.9238464
 0.95417106 0.94075096 0.9602808  0.8347657  0.9497285  0.9245159
 0.9070109  0.95796174 0.9180009  0.9538671  0.94341254 0.9403628
 0.94317335 0.95469654 0.94469255 0.89550054 0.9428856  0.961631
 0.91643494 0.93428487 0.9073784  0.9466257  0.94409275 0.929163
 0.93991345 0.912152   0.93767834 0.9467251  0.92570984 0.95871943
 0.9509427  0.94976634 0.9341469  0.947062   0.9408924  0.9444437
 0.95666116 0.94246006 0.9294033  0.9220514  0.9555315  0.96076417
 0.95059586 0.9439111  0.9388437  0.9618942  0.9351562  0.9467012
 0.9256693  0.93594885 0.94617575 0.933506   0.9293956  0.95786923
 0.93771493 0.9391694  0.9538988  0.9587282  0.9487214  0.92319334
 0.9019871  0.945474   0.93460405 0.9444406  0.94006085 0.95593834
 0.9275131  0.92299545 0.92323625 0.9422089  0.95804155 0.91553676
 0.9395952  0.94663954 0.9439222  0.95804036 0.9380317  0.958897
 0.9150287  0.94380033 0.9395675  0.9624568 ]",2.4281145e-14,12.854105949401855,2694.8135685350594
Explicit NNODEgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.9200201  0.949958   0.8759333  0.8285181  0.9207684  0.9103748
 0.8441248  0.94707173 0.92886245 0.9090084  0.9325118  0.9449744
 0.94200534 0.82948494 0.9482748  0.9324547  0.9288718  0.9122486
 0.95621294 0.89516294 0.95279044 0.766936   0.94981664 0.8315811
 0.8687221  0.9531865  0.8855442  0.94369096 0.9495682  0.90428793
 0.9146835  0.95662296 0.9137456  0.86704487 0.92341995 0.9592972
 0.8882114  0.9251298  0.90922344 0.8880613  0.92656535 0.9311337
 0.940523   0.8782171  0.9258041  0.94477075 0.9312412  0.94993514
 0.9424863  0.91629267 0.9268656  0.92994785 0.9349121  0.92232835
 0.9453591  0.9397666  0.93589133 0.9258971  0.94823503 0.96013755
 0.9063129  0.9060706  0.937019   0.95879114 0.9207778  0.9390092
 0.8472656  0.94049084 0.94545174 0.8395585  0.9209322  0.9578202
 0.9350354  0.92743707 0.9482268  0.95688456 0.94388247 0.90695065
 0.88938    0.92611665 0.92606306 0.92944926 0.94110036 0.94495773
 0.9127277  0.85226077 0.91105795 0.939157   0.9582588  0.83811206
 0.8996022  0.95067215 0.9478161  0.9557358  0.9152789  0.9587506
 0.9129404  0.9449069  0.9307002  0.9573328 ]",3.1564473e-13,20.535691022872925,132.17144046156082
SymplecticNNgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.92961204 0.9481114  0.9003644  0.9315993  0.95448554 0.94197226
 0.8820723  0.9554689  0.9378543  0.942784   0.94192743 0.94745916
 0.9318837  0.94079036 0.9515395  0.93418616 0.94529676 0.92288506
 0.95374507 0.94080245 0.95986176 0.84615874 0.94953936 0.92507446
 0.9092533  0.9576622  0.91861457 0.9532608  0.94343936 0.939583
 0.9432063  0.95485353 0.94468296 0.8972521  0.9425844  0.96157163
 0.9191371  0.93477744 0.9101559  0.94606054 0.9439506  0.9289428
 0.93977493 0.9120687  0.9373581  0.94699115 0.9273995  0.95815027
 0.9505969  0.9499191  0.93394536 0.9465933  0.94038033 0.9439975
 0.9566349  0.9425099  0.93112653 0.9222864  0.95563406 0.96088266
 0.9503176  0.94298047 0.93902385 0.9617745  0.9352627  0.9466118
 0.92574537 0.9361881  0.9463441  0.9338846  0.9295714  0.9579851
 0.93802613 0.9390503  0.953685   0.9587201  0.9487208  0.9225607
 0.90281343 0.9450461  0.93524575 0.9440004  0.93984    0.9559232
 0.9269063  0.9243262  0.92292756 0.9419322  0.9579371  0.9177201
 0.9379673  0.94630706 0.94409245 0.9580163  0.93757856 0.95869446
 0.91454935 0.94360495 0.93972296 0.96235055]",7.724161e-05,26.38550901412964,2694.527530677258
GSymplecticNNgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.9298207  0.948032   0.9007219  0.93191755 0.95445937 0.94240415
 0.88279766 0.95540065 0.93772215 0.9430909  0.94159544 0.9475488
 0.93165874 0.94037473 0.95137537 0.9340658  0.94560546 0.9231695
 0.95349884 0.9405718  0.95997953 0.8467342  0.94979334 0.92476535
 0.90891635 0.9577875  0.9185058  0.95281976 0.9432254  0.9394126
 0.94307816 0.9545125  0.94473946 0.897624   0.9425386  0.9614598
 0.9188293  0.9347035  0.9092724  0.9457989  0.94403684 0.92887324
 0.93992376 0.9121938  0.9377011  0.9469554  0.92702764 0.9583246
 0.9508245  0.94984674 0.9341451  0.9467265  0.9402537  0.943686
 0.9565232  0.94241834 0.93098134 0.92197484 0.9558033  0.96101284
 0.9503977  0.94316125 0.938885   0.961637   0.93517256 0.9462771
 0.9260535  0.93676245 0.94626844 0.93343484 0.9293803  0.95795286
 0.9380555  0.93876046 0.9538007  0.95866174 0.94896644 0.9227613
 0.9026202  0.94491976 0.93530387 0.9436976  0.9401158  0.9558171
 0.92692435 0.92394006 0.9231491  0.94179916 0.95765543 0.9172251
 0.93780965 0.9463066  0.94411314 0.95791805 0.9375987  0.9589515
 0.91548675 0.94375753 0.9399471  0.9622201 ]",5.6603596e-05,9.258914232254028,42.377533068573136
GradSymplecticNNgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.92991084 0.9481213  0.90097845 0.93317026 0.9548487  0.9425219
 0.8826474  0.95563096 0.93783545 0.94350123 0.9423202  0.94756144
 0.93176955 0.9414108  0.95149606 0.9341077  0.9455695  0.92333925
 0.95382327 0.9408433  0.96002495 0.8465221  0.94970816 0.9255209
 0.90959615 0.9578767  0.91858065 0.9534606  0.943486   0.94017524
 0.9434702  0.9548473  0.9448055  0.8974673  0.94283295 0.96152174
 0.91936797 0.93495893 0.91049135 0.94675463 0.94433486 0.929163
 0.9400312  0.91225815 0.9371978  0.9468944  0.9278468  0.95844144
 0.95073986 0.95008695 0.9342987  0.9470134  0.94051665 0.9446665
 0.9566188  0.9423603  0.9310446  0.9231331  0.9557556  0.9609284
 0.95065975 0.94364804 0.93898046 0.9618146  0.9354718  0.94668645
 0.9261637  0.9360237  0.9462855  0.9344932  0.9295408  0.95804256
 0.9386097  0.939296   0.95372313 0.95872897 0.9486947  0.9233486
 0.9028217  0.9455311  0.9352411  0.9444226  0.9399888  0.9559331
 0.9270279  0.92470354 0.92338055 0.942098   0.9579333  0.91768664
 0.9388167  0.9462947  0.94398224 0.9579972  0.93758047 0.9588541
 0.91450524 0.94390774 0.93975866 0.96238685]",1.3354219e-05,50.52829122543335,2692.7935310763773
GradGSymplecticNNgHMC,0.1,autograd,gaussian,SynchronousLeapfrog,0.3,"[0.92999804 0.94819397 0.90114486 0.9338778  0.9549602  0.94280356
 0.88276947 0.9556236  0.93788123 0.9435258  0.942312   0.9475834
 0.9312698  0.9413135  0.9514656  0.9340589  0.9457097  0.92335457
 0.95379657 0.9408674  0.96007943 0.8471575  0.94974506 0.9255039
 0.9096111  0.9579274  0.9185247  0.953396   0.94358337 0.9401263
 0.9435581  0.95474946 0.9448694  0.8977562  0.9429356  0.9614994
 0.91924596 0.93480414 0.90949905 0.9467037  0.94436157 0.92919886
 0.9399164  0.9120946  0.9375236  0.94696033 0.92730254 0.95847577
 0.9507741  0.9501483  0.9343292  0.94715357 0.94047374 0.94480324
 0.95665014 0.94243217 0.9306204  0.9225544  0.9558128  0.96095324
 0.95074624 0.94393796 0.93892974 0.96177906 0.93551505 0.94663656
 0.9262726  0.93654525 0.9462694  0.9344057  0.92945766 0.95800066
 0.9383805  0.93919086 0.9537541  0.9587113  0.94878805 0.9233152
 0.9026716  0.9455937  0.93540335 0.9444674  0.93993104 0.9559417
 0.92700505 0.92461526 0.92345273 0.94205546 0.957878   0.91762304
 0.9389285  0.94644105 0.9441689  0.95797724 0.93758523 0.9589211
 0.9153606  0.9437593  0.9398505  0.96235293]",5.1089766e-05,13.380545377731323,212.55386248761246
HMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9344958  0.94257784 0.92875826 0.9406926  0.942775   0.933475
 0.93336487 0.9348962  0.93058896 0.9438108  0.93694293 0.9281553
 0.937833   0.94231045 0.9317593  0.9465699  0.9343114  0.9383153
 0.9368951  0.9371659  0.9344157  0.9436757  0.9325967  0.93738884
 0.94142693 0.9383888  0.93685883 0.93786305 0.936093   0.9419646
 0.93521035 0.9378869  0.9424421  0.9405875  0.93136966 0.94279337
 0.9383645  0.93439263 0.943011   0.93829817 0.9383794  0.9329599
 0.94268525 0.9299835  0.94075596 0.928936   0.94632185 0.93910444
 0.93801117 0.93968695 0.9365131  0.93579483 0.93409014 0.9407295
 0.9398416  0.9294285  0.9313242  0.93555975 0.9433815  0.9414325
 0.939958   0.931127   0.93162954 0.9410245  0.9392201  0.9383004
 0.942798   0.9300126  0.93169737 0.93826497 0.93658435 0.9373161
 0.94172776 0.9462279  0.93829465 0.9370572  0.93988645 0.9355175
 0.93886185 0.92241454 0.9379379  0.9341115  0.94368184 0.93672824
 0.9297711  0.9381851  0.94120836 0.9415115  0.9378022  0.93797624
 0.93275565 0.93222797 0.9250711  0.92321813 0.9329459  0.9342496
 0.9290241  0.93037075 0.9347019  0.9358448 ]",1.4289015e-15,50.36177635192871,353.77453188826047
NNgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9343662  0.9425747  0.92859197 0.94059694 0.9427134  0.9333606
 0.9332241  0.93478763 0.9304218  0.94383323 0.93683994 0.9279687
 0.93774956 0.9423237  0.93157136 0.94657516 0.9341892  0.9382516
 0.9368579  0.9371171  0.9343152  0.9436587  0.93228555 0.9372964
 0.9413344  0.93833184 0.93676555 0.93776643 0.9360091  0.9419435
 0.9350106  0.937835   0.9424268  0.94054174 0.93111336 0.94278276
 0.9382572  0.93422335 0.9429573  0.9382388  0.9383602  0.9327563
 0.94265836 0.92979145 0.9407693  0.92875934 0.9463321  0.93901765
 0.93797797 0.93966264 0.9364287  0.935729   0.9339447  0.9406761
 0.9397998  0.92936933 0.93109167 0.9354025  0.94337404 0.9414031
 0.93993807 0.9308642  0.93137264 0.9410061  0.9391664  0.9381697
 0.9427313  0.92974484 0.93157625 0.93824565 0.9365408  0.9372365
 0.94171804 0.94623536 0.93822086 0.9370307  0.93985146 0.9354407
 0.9387528  0.92204285 0.9377951  0.9339251  0.9436679  0.9365996
 0.9295366  0.9380102  0.94117594 0.94150496 0.93768823 0.93792117
 0.93256557 0.9320767  0.9245994  0.92273855 0.93288344 0.9340644
 0.9286338  0.93004817 0.9345383  0.93568486]",1.5291873e-15,47.120216846466064,328.44782437254304
NNODEgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.93432397 0.9425575  0.92862916 0.940639   0.94272935 0.9334054
 0.9332676  0.93481565 0.9303895  0.943789   0.93681735 0.9279438
 0.9377531  0.9423129  0.9316238  0.94660556 0.93414927 0.9382671
 0.9368369  0.9371195  0.93430126 0.94365835 0.93235767 0.9372999
 0.94130695 0.9383081  0.9367118  0.9377925  0.9359839  0.94195163
 0.93500984 0.9377885  0.94244385 0.94056606 0.93113315 0.9427843
 0.93826765 0.9342873  0.94298    0.9381908  0.9383584  0.9327531
 0.9426281  0.92973983 0.94075483 0.92872804 0.94633406 0.93902874
 0.93799484 0.93961    0.93644416 0.93569326 0.93396115 0.9406786
 0.93976545 0.92929685 0.9310734  0.9354073  0.9433675  0.94143057
 0.9399532  0.93079555 0.931422   0.94100094 0.93916243 0.9381895
 0.94275093 0.9298066  0.93156767 0.93819374 0.936536   0.93719405
 0.9416517  0.9462511  0.93820184 0.9370634  0.939854   0.935388
 0.9387754  0.92214555 0.9378125  0.9338977  0.9436785  0.9366018
 0.92958754 0.93802583 0.94115156 0.94150186 0.9377394  0.9379202
 0.93253726 0.9320239  0.92462075 0.9227886  0.9328517  0.9340474
 0.9287035  0.9301383  0.93452823 0.935671  ]",1.3273297e-14,37.439016342163086,321.4380592962923
Explicit NNODEgHMC,0.1,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.93015134 0.94081354 0.9238639  0.9387927  0.9415525  0.9299922
 0.9305412  0.9329271  0.9267303  0.94155234 0.93331456 0.92534226
 0.93675673 0.94007576 0.9291705  0.94569916 0.9322197  0.93579495
 0.9339169  0.93473005 0.9321283  0.9415517  0.9286047  0.9358796
 0.9389298  0.9367354  0.93143773 0.9353169  0.93338597 0.94088954
 0.9315426  0.9369788  0.940351   0.9374398  0.92572945 0.94150746
 0.9351246  0.92982805 0.9402003  0.9373131  0.9363303  0.9296124
 0.9396698  0.92763495 0.93889034 0.92511785 0.9444674  0.9368113
 0.93500566 0.9382825  0.93448126 0.9338006  0.9303273  0.9374172
 0.9375346  0.9266499  0.9279423  0.9324417  0.9416258  0.9394225
 0.93678904 0.928616   0.92821634 0.94033146 0.9365238  0.93641585
 0.941133   0.92577875 0.9304611  0.93648523 0.93294716 0.9341589
 0.94069755 0.9437814  0.9369094  0.9347231  0.93641734 0.9321692
 0.9370283  0.9186248  0.9350719  0.9303095  0.9420047  0.93353605
 0.9235038  0.93546885 0.93816936 0.939981   0.9349424  0.93583477
 0.92806864 0.9293744  0.92218804 0.9203166  0.9310252  0.93347406
 0.92605376 0.92538404 0.93178385 0.93382835]",1.7753694e-14,59.92855978012085,63.01196653090806
