L,pair_mode,pairs_per_traj,total_pairs,train_time,sample_time,reversibility_error,ess
5,all,15,9000,10.027320623397827,2.728137493133545,7.91552e-15,762.2509888509499
5,from_start,5,3000,7.840803861618042,2.716917037963867,1.04985465e-14,762.8616539019544
5,endpoint,1,600,7.717852830886841,2.7863709926605225,1.7938637e-14,709.2246182758962
25,all,325,195000,72.02702355384827,2.791473865509033,1.2169821e-12,351.6147437370105
25,from_start,25,15000,23.313385486602783,2.786484956741333,1.864628e-13,347.6374701618749
25,endpoint,1,600,20.132352828979492,2.7843127250671387,2.1200449e-14,1175.1080013463159
50,all,1275,765000,72.38028359413147,2.714223623275757,9.43097e-12,428.8593655609898
50,from_start,50,30000,37.28390407562256,2.706559896469116,8.163785e-13,267.24791167830494
50,endpoint,1,600,36.264487504959106,2.716336250305176,1.7389886e-14,711.2487773280499
