model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
SymplecticNNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.94730127 0.94677436 0.94792986 0.94762754 0.9485183  0.94732356
 0.9482449  0.9476935  0.94736147 0.94890344 0.9474348  0.9452383
 0.9482641  0.94656134 0.9456581  0.9486429  0.94633913 0.94813824
 0.94719076 0.9474358  0.94761074 0.94851196 0.9478316  0.9477767
 0.9479122  0.9476441  0.94769305 0.94815767 0.9464523  0.9465384
 0.9489498  0.9481305  0.94728875 0.94709414 0.94773996 0.94754076
 0.947945   0.9484293  0.9484551  0.9475235  0.94851935 0.9467095
 0.94743747 0.94842595 0.9470347  0.9478414  0.94619215 0.947314
 0.9473181  0.9485949  0.9473885  0.9467327  0.94695807 0.94815415
 0.9480616  0.94775194 0.9478499  0.9482998  0.9484576  0.94823736
 0.9471911  0.94754255 0.94618034 0.9478389  0.9465736  0.94777286
 0.94713676 0.9480652  0.947359   0.94863    0.94738    0.949562
 0.94674176 0.9471974  0.9472259  0.94775677 0.94737387 0.94767094
 0.9487259  0.94713205 0.94770473 0.94820404 0.94674397 0.9464698
 0.9468717  0.94669193 0.94823205 0.9475505  0.947904   0.9479724
 0.9465046  0.9477576  0.9477668  0.94710374 0.94663    0.9477681
 0.94826055 0.9466111  0.94741964 0.94816345]",8.606095,54.402323722839355,5.135948226187823
GSymplecticNNgHMC,0.1,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.9252531  0.92270917 0.92584133 0.9241694  0.9271989  0.92588747
 0.9274456  0.9261153  0.9243269  0.92679095 0.9253549  0.9221849
 0.9253677  0.92317027 0.92516434 0.9265933  0.92442214 0.92623633
 0.9263004  0.9242352  0.9234679  0.92700756 0.9246046  0.9253411
 0.92699665 0.92541564 0.9257541  0.9271847  0.9229164  0.9257598
 0.9267292  0.92759216 0.9288554  0.92320174 0.9253521  0.9262935
 0.9253306  0.92601126 0.9253849  0.9255439  0.9280151  0.92306435
 0.9263681  0.92614925 0.9253515  0.9259809  0.9210539  0.9266131
 0.9256879  0.92722315 0.92546046 0.92164725 0.9227905  0.9259803
 0.92629117 0.9272069  0.9257061  0.9275443  0.92605865 0.92573357
 0.9226653  0.9243803  0.92446136 0.9246651  0.924446   0.925539
 0.92468995 0.9239458  0.9258685  0.92758226 0.92473763 0.9276814
 0.9235851  0.9254446  0.9253084  0.9255227  0.92689514 0.9254173
 0.9268141  0.9248983  0.9264544  0.9248039  0.92294455 0.92403734
 0.9252886  0.9220605  0.92564535 0.92745036 0.9251226  0.92653006
 0.92560816 0.92456836 0.9264945  0.92658156 0.92427415 0.9250676
 0.9250716  0.92324626 0.9262008  0.92532414]",91.1323,25.87982678413391,5700.0
HMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.66636354 0.6719779  0.67165077 0.6677828  0.672838   0.6691842
 0.6719116  0.6740546  0.6715832  0.66809034 0.6772892  0.671493
 0.66742635 0.66901445 0.67055285 0.6735128  0.6746516  0.6651974
 0.6658473  0.66567934 0.67162454 0.6797097  0.6752929  0.67527306
 0.6742465  0.6825723  0.6621432  0.67079055 0.6677921  0.66542584
 0.6682562  0.66799086 0.67041576 0.6733989  0.67751694 0.6710004
 0.6700174  0.66754186 0.6766877  0.6782141  0.6703756  0.67102087
 0.6710207  0.6801666  0.6727605  0.6652496  0.66489947 0.67569065
 0.6731914  0.66382736 0.6726665  0.6642402  0.680295   0.67307293
 0.6733815  0.6724316  0.67368126 0.66861045 0.6757761  0.66282094
 0.6710383  0.6690368  0.67021817 0.6716158  0.6693942  0.66619873
 0.6656381  0.66701066 0.66859806 0.6886241  0.66542304 0.6749035
 0.6689507  0.67536855 0.6724469  0.6702857  0.669177   0.6699028
 0.670433   0.6671452  0.6644788  0.6701591  0.66856706 0.6755562
 0.67154765 0.66577905 0.66674566 0.66968155 0.6673731  0.6753573
 0.67016363 0.6781761  0.67823017 0.66743064 0.66937435 0.6759813
 0.67290115 0.6829424  0.66574794 0.6825479 ]",1.3214312e+06,18.470218181610107,5697.263583103526
NNgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.66636354 0.6719779  0.67165077 0.6677828  0.672838   0.6691842
 0.6719116  0.6740546  0.6715832  0.66809034 0.6772892  0.671493
 0.66742635 0.66901445 0.67055285 0.6735128  0.6746516  0.6651974
 0.6658473  0.66567934 0.67162454 0.6797097  0.6752929  0.67527306
 0.6742465  0.6825723  0.6621432  0.67079055 0.6677921  0.66542584
 0.6682562  0.66799086 0.67041576 0.6733989  0.67751694 0.6710004
 0.6700174  0.66754186 0.6766877  0.6782141  0.6703756  0.67102087
 0.6710207  0.6801666  0.6727605  0.6652496  0.66489947 0.67569065
 0.6731914  0.66382736 0.6726665  0.6642402  0.680295   0.67307293
 0.6733815  0.6724316  0.67368126 0.66861045 0.6757761  0.66282094
 0.6710383  0.6690368  0.67021817 0.6716158  0.6693942  0.66619873
 0.6656381  0.66701066 0.66859806 0.6886241  0.66542304 0.6749035
 0.6689507  0.67536855 0.6724469  0.6702857  0.669177   0.6699028
 0.670433   0.6671452  0.6644788  0.6701591  0.66856706 0.6755562
 0.67154765 0.66577905 0.66674566 0.66968155 0.6673731  0.6753573
 0.67016363 0.6781761  0.67823017 0.66743064 0.66937435 0.6759813
 0.67290115 0.6829424  0.66574794 0.6825479 ]",1.3214312e+06,43.11561417579651,5281.369098711483
NNODEgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9413427  0.9410372  0.94116753 0.9411006  0.9410275  0.9412422
 0.941193   0.94109935 0.9410083  0.94118166 0.94077367 0.9410839
 0.9411607  0.94109285 0.9413795  0.94095945 0.9410329  0.94134444
 0.9413961  0.9410197  0.94098425 0.9408192  0.94088316 0.94093245
 0.941041   0.9407041  0.9414176  0.94110286 0.94109124 0.9414829
 0.94111025 0.94130135 0.9413309  0.9408636  0.9407806  0.94119585
 0.94109523 0.94101495 0.9407284  0.9409102  0.94120616 0.9408927
 0.9411725  0.94069755 0.94111913 0.9413705  0.9410143  0.9411039
 0.94114923 0.94134355 0.9410991  0.94116676 0.94064796 0.9410409
 0.94105947 0.94113535 0.9410488  0.9413394  0.94098485 0.94137895
 0.94083416 0.9411044  0.94124407 0.94082564 0.9413063  0.94122577
 0.9412006  0.94108504 0.9412827  0.94054973 0.9412717  0.9409547
 0.94109267 0.9409857  0.9410906  0.9411639  0.941323   0.94113576
 0.94101226 0.9413108  0.9413601  0.94100666 0.94111    0.9409337
 0.9411638  0.9411329  0.94122016 0.9413341  0.9412365  0.9409353
 0.94126034 0.94080544 0.9409332  0.9412617  0.94124687 0.94083565
 0.9409399  0.9406214  0.94131535 0.94054955]",8.643838e-11,34.71336364746094,5400.0
Explicit NNODEgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9402704  0.9399581  0.94009465 0.94001836 0.9399495  0.94017017
 0.9401218  0.94002694 0.9399273  0.9401047  0.9396888  0.94000626
 0.9400811  0.94001216 0.94031566 0.9398788  0.939958   0.94027114
 0.9403261  0.9399303  0.93990177 0.93974066 0.9398014  0.93985295
 0.9399657  0.93962336 0.94034356 0.9400252  0.94000834 0.9404172
 0.9400296  0.9402301  0.9402649  0.9397776  0.9396958  0.9401238
 0.940016   0.93992823 0.93964094 0.9398341  0.94013345 0.93980455
 0.94009894 0.939613   0.9400449  0.94029874 0.93992317 0.94003403
 0.94007766 0.9402685  0.94002455 0.9400827  0.9395616  0.9399638
 0.93998396 0.94006145 0.9399729  0.9402709  0.9399087  0.940304
 0.9397435  0.94002455 0.9401727  0.9397354  0.9402375  0.94014806
 0.9401206  0.9400007  0.9402113  0.93947065 0.94019485 0.93987584
 0.9400115  0.93990916 0.94001496 0.9400887  0.9402541  0.9400587
 0.93992984 0.94023865 0.94028664 0.93992347 0.9400298  0.9398546
 0.9400909  0.94004965 0.9401428  0.9402665  0.94016045 0.9398563
 0.9401903  0.9397235  0.93985784 0.9401874  0.9401748  0.9397526
 0.939857   0.93953705 0.9402416  0.93946147]",2.4442367e-11,55.74687719345093,6.295003570579606
SymplecticNNgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9568616  0.9568829  0.9568798  0.9571282  0.9568982  0.9569005
 0.9568455  0.9566754  0.95718324 0.9568242  0.9569337  0.95687795
 0.9568767  0.95728314 0.9568509  0.9567565  0.9566455  0.95703137
 0.95714533 0.9570491  0.95684904 0.9565525  0.95682496 0.956963
 0.9566433  0.9567275  0.95703936 0.9569887  0.95721143 0.9567206
 0.9569267  0.9568729  0.95667243 0.9568479  0.95687103 0.95681417
 0.9569668  0.95734155 0.9568076  0.95661986 0.95685214 0.95704335
 0.9569478  0.9568125  0.9570055  0.9570838  0.9572565  0.9566573
 0.9566147  0.9568118  0.956728   0.95740795 0.9567141  0.956941
 0.9566088  0.95676816 0.95665336 0.95675623 0.9568051  0.95693386
 0.95698154 0.95694137 0.9569601  0.9570841  0.9569658  0.9568876
 0.95717925 0.95717204 0.9570813  0.9565786  0.9571514  0.9568317
 0.9569316  0.95679307 0.9568969  0.95702803 0.9567617  0.9569611
 0.95694256 0.9569191  0.9569513  0.9568731  0.95689076 0.95670414
 0.9570116  0.95720166 0.95707977 0.9569294  0.9569656  0.9565395
 0.95667076 0.9566544  0.95662117 0.95693386 0.9567199  0.9566575
 0.9571042  0.956459   0.95699716 0.9568428 ]",2591.3042,74.74271416664124,29.83394827809695
GSymplecticNNgHMC,0.2,autograd,high_dimensional_gaussian,SynchronousLeapfrog,0.1,"[0.9444008  0.9441146  0.9442215  0.94426405 0.94407195 0.9442872
 0.94430894 0.9441828  0.94413376 0.9442293  0.9439415  0.94413316
 0.944256   0.9442158  0.9446706  0.9440309  0.9440799  0.9443785
 0.9444665  0.944489   0.9441204  0.94386756 0.9439804  0.94398487
 0.94408435 0.9437759  0.9444511  0.94415134 0.94427025 0.9446162
 0.94423026 0.9443463  0.9444811  0.9441094  0.9439331  0.9442384
 0.94417524 0.9443395  0.9439825  0.94397247 0.94426394 0.94423956
 0.9442247  0.9438254  0.94415724 0.9443857  0.9445664  0.9442381
 0.9442247  0.94437397 0.9441123  0.94442296 0.94382876 0.9440777
 0.94408166 0.9441699  0.94408435 0.94446135 0.9440367  0.9443984
 0.9442782  0.9441964  0.944266   0.9442541  0.9444002  0.94428575
 0.9443142  0.94432175 0.94433564 0.94364256 0.9443394  0.94401205
 0.94422424 0.94401586 0.94413745 0.94419736 0.94439906 0.9441937
 0.94415843 0.9443443  0.9443884  0.9441802  0.9442088  0.94397366
 0.94423056 0.944343   0.94427174 0.94450325 0.944265   0.94399107
 0.94431555 0.9438984  0.9439799  0.9442896  0.9442737  0.9439637
 0.94410247 0.94373333 0.9443499  0.9437785 ]",52735.113,29.265533447265625,27.901436454706438
HMC,0.2,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8934287  0.89545697 0.8938918  0.8958173  0.8973755  0.8976156
 0.8960835  0.8961047  0.8947703  0.8985097  0.8936999  0.8941164
 0.89652556 0.8950607  0.89261675 0.8958504  0.89524853 0.8961934
 0.8954651  0.8962612  0.89570254 0.895189   0.896629   0.8949518
 0.89557856 0.89170253 0.89804524 0.89599204 0.89607275 0.8976509
 0.8971483  0.8952109  0.8947426  0.89462435 0.8915949  0.89735353
 0.89551556 0.8982209  0.89782274 0.8950092  0.8956759  0.8948395
 0.896768   0.89361876 0.8926517  0.8981063  0.89591426 0.8947832
 0.89550054 0.89937514 0.89780754 0.89774966 0.8960421  0.89698935
 0.89627826 0.8927552  0.8945936  0.89508057 0.89380026 0.89916986
 0.89827347 0.896809   0.8953824  0.896796   0.89763963 0.8982083
 0.8978197  0.8964049  0.8963276  0.8929533  0.8951032  0.8965556
 0.893892   0.89549863 0.89499784 0.8945238  0.8941356  0.8961688
 0.8981487  0.89691293 0.89775866 0.8974136  0.8982565  0.89507836
 0.89701974 0.89874303 0.8980541  0.893428   0.8957155  0.89587754
 0.8972739  0.894582   0.89346164 0.8959314  0.89547145 0.89734256
 0.89466095 0.8925805  0.8970921  0.8945837 ]",74.37598,18.329810619354248,5697.24435998128
NNgHMC,0.2,autograd,high_dimensional_warped_gaussian,SynchronousLeapfrog,0.1,"[0.8934287  0.89545697 0.8938918  0.8958173  0.8973755  0.8976156
 0.8960835  0.8961047  0.8947703  0.8985097  0.8936999  0.8941164
 0.89652556 0.8950607  0.89261675 0.8958504  0.89524853 0.8961934
 0.8954651  0.8962612  0.89570254 0.895189   0.896629   0.8949518
 0.89557856 0.89170253 0.89804524 0.89599204 0.89607275 0.8976509
 0.8971483  0.8952109  0.8947426  0.89462435 0.8915949  0.89735353
 0.89551556 0.8982209  0.89782274 0.8950092  0.8956759  0.8948395
 0.896768   0.89361876 0.8926517  0.8981063  0.89591426 0.8947832
 0.89550054 0.89937514 0.89780754 0.89774966 0.8960421  0.89698935
 0.89627826 0.8927552  0.8945936  0.89508057 0.89380026 0.89916986
 0.89827347 0.896809   0.8953824  0.896796   0.89763963 0.8982083
 0.8978197  0.8964049  0.8963276  0.8929533  0.8951032  0.8965556
 0.893892   0.89549863 0.89499784 0.8945238  0.8941356  0.8961688
 0.8981487  0.89691293 0.89775866 0.8974136  0.8982565  0.89507836
 0.89701974 0.89874303 0.8980541  0.893428   0.8957155  0.89587754
 0.8972739  0.894582   0.89346164 0.8959314  0.89547145 0.89734256
 0.89466095 0.8925805  0.8970921  0.8945837 ]",74.37598,42.96378302574158,5282.977173713415
